date,_id,date,code,close,vol,amount,delta,insert_time,ma5,ma20,ma60,macd,signal,rsi,volatility,vol_change,target_1,target_2,target_3,target_4,target_5
2017-03-07,68505d6d34a7c6e6d373ade7,2017-03-07,510500,5.784,125484,85445945.0,0.28,2025-06-17 02:07:41.174,5.7386,5.6737,5.5969999999999995,0.05122837428790561,0.0425250516326422,73.1651376146789,0.06636509862713666,-0.22333630421865713,-0.0038,-0.0121,0.0032,0.0112,-0.0048
2017-03-08,68505d6d34a7c6e6d373ade8,2017-03-08,510500,5.762,68834,46803069.0,-0.38,2025-06-17 02:07:41.174,5.7454,5.68335,5.597266666666667,0.05145990031462144,0.04431202136903805,66.90476190476184,0.06434060271628644,-0.4514519779414109,-0.0121,0.0032,0.0112,-0.0048,-0.0009
2017-03-09,68505d6d34a7c6e6d373ade9,2017-03-09,510500,5.692,109505,73801870.0,-1.21,2025-06-17 02:07:41.174,5.7438,5.6881,5.595200000000001,0.04547081215533044,0.04454377952629653,62.44444444444448,0.0610529537196612,0.5908562628933376,0.0032,0.0112,-0.0048,-0.0009,0.0092
2017-03-10,68505d6d34a7c6e6d373adea,2017-03-10,510500,5.71,99092,66830783.0,0.32,2025-06-17 02:07:41.174,5.7432,5.6931,5.593916666666667,0.04169621815981284,0.0439742672529998,56.9974554707379,0.05835544443098081,-0.09509154833112643,0.0112,-0.0048,-0.0009,0.0092,-0.0104
2017-03-13,68505d6d34a7c6e6d373adeb,2017-03-13,510500,5.774,126199,85475494.0,1.12,2025-06-17 02:07:41.174,5.744400000000001,5.700200000000001,5.593966666666668,0.0433691576999653,0.043853245342392905,58.980582524271846,0.05916311083953496,0.2735538691317161,-0.0048,-0.0009,0.0092,-0.0104,0.0035
2017-03-14,68505d6d34a7c6e6d373adec,2017-03-14,510500,5.746,123168,83743075.0,-0.48,2025-06-17 02:07:41.174,5.736800000000001,5.70565,5.59755,0.04195201166789175,0.04347299860749267,52.30024213075063,0.058044696933535034,-0.024017622960562313,-0.0009,0.0092,-0.0104,0.0035,0.0043
2017-03-15,68505d6d34a7c6e6d373aded,2017-03-15,510500,5.741,110068,74664366.0,-0.09,2025-06-17 02:07:41.174,5.7326,5.7136000000000005,5.600766666666668,0.03996476606819943,0.04277135209963403,50.61124694376527,0.05063325306347873,-0.10635879449207586,0.0092,-0.0104,0.0035,0.0043,-0.0038
2017-03-16,68505d6d34a7c6e6d373adee,2017-03-16,510500,5.794,217857,148866868.0,0.92,2025-06-17 02:07:41.174,5.753,5.7223,5.60545,0.04218028856339018,0.04265313939238526,56.08695652173905,0.048612430725623976,0.9792946178725879,-0.0104,0.0035,0.0043,-0.0038,0.0021
2017-03-17,68505d6d34a7c6e6d373adef,2017-03-17,510500,5.734,239095,163411793.0,-1.04,2025-06-17 02:07:41.174,5.7578,5.73,5.608549999999999,0.03864908495063801,0.041852328504035814,54.77707006369428,0.03524500711188587,0.09748596556456768,0.0035,0.0043,-0.0038,0.0021,0.0066
2017-03-20,68505d6d34a7c6e6d373adf0,2017-03-20,510500,5.754,122934,83280693.0,0.35,2025-06-17 02:07:41.174,5.7538,5.7349499999999995,5.611366666666667,0.037037468616422764,0.0408893565265132,54.77707006369428,0.030833124702964423,-0.4858361739057697,0.0043,-0.0038,0.0021,0.0066,-0.0062
